PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Combined Cycle CCS,CAPEX(2012$/MW),2303278.837,2215862.284,2132374.565,2097997.269,2078353.1,2063619.973,2040046.97,2012545.133,1987989.921,1964416.918,1940843.915,1918253.121,1893697.909,1867178.281,1835747.61,1805299.148,1772886.269,1742437.807,1711989.344,1698238.426,1683505.299,1666807.755,1653056.837,1639305.918,1624572.791,1611804.081,1597070.955,1582337.828,1566622.492,1550907.157,1522423.112
Combined Cycle CCS,FOM(2012$/MW/yr),58316.58,58316.58,58316.58,58047.84,57868.68,57689.52,57510.36,57241.62,57062.46,56883.3,56704.14,56524.98,56256.24,56077.08,55718.76,55270.86,54912.54,54464.64,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32,54106.32
Combined Cycle CCS,VOM(2012$/MWh),5.132934,5.132934,5.132934,5.115018,5.097102,5.079186,5.06127,5.043354,5.025438,5.007522,4.989606,4.97169,4.953774,4.944816,4.908984,4.873152,4.83732,4.801488,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656,4.765656
Combustion Turbine,Heat Rate (Btu/kWh),9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717,9717
Combustion Turbine,CAPEX(2012$/MW),830948.3564,823090.6888,819161.8549,802464.3111,793624.435,790677.8096,784784.5589,772998.0573,767104.8066,762193.7643,758264.9305,755318.3051,750407.2628,745496.2205,741567.3866,737638.5528,732727.5105,728798.6767,724869.8428,721923.2175,717012.1752,713083.3413,709154.5075,705225.6737,701296.8398,698350.2144,694421.3806,690492.5468,686563.7129,681652.6706,673795.003
Combustion Turbine,FOM(2012$/MW/yr),18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22,18722.22
Combustion Turbine,VOM(2012$/MWh),4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252,4.425252
Nuclear,Heat Rate (Btu/kWh),10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455
Nuclear,CAPEX(2012$/MW),6569442.587,6520648.16,6500560.398,6448361.788,6310030.474,6309661.451,6276676.025,6245094.507,6211583.775,6175183.22,6132788.889,6097413.709,6050986.63,6001382.033,5959966.788,5918005.474,5872478.858,5829981.588,5789615.632,5751271.286,5709105.757,5662952.169,5623343.508,5584629.229,5545504.333,5510821.938,5470800.62,5427395.722,5383314.855,5340931.415,5246173.385
Nuclear,FOM(2012$/MW/yr),129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215,129866.215
Nuclear,VOM(2012$/MWh),2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332,2.10672332
Battery Storage,CAPEX(2012$/MW),1221230.017,1148248.143,1075266.27,1002284.396,929302.5229,856320.6494,825534.7686,794748.8878,763963.007,733177.1263,702391.2455,693611.3549,684831.4643,676051.5738,667271.6832,658491.7926,649711.9021,640932.0115,632152.1209,623372.2304,614592.3398,605812.4492,597032.5587,588252.6681,579472.7775,570692.887,561912.9964,553133.1058,544353.2152,535573.3247,526793.4341
Battery Storage,FOM(2012$/MW/yr),30530.75043,28706.20359,26881.65675,25057.10991,23232.56307,21408.01623,20638.36921,19868.7222,19099.07518,18329.42816,17559.78114,17340.28387,17120.78661,16901.28934,16681.79208,16462.29482,16242.79755,16023.30029,15803.80302,15584.30576,15364.80849,15145.31123,14925.81397,14706.3167,14486.81944,14267.32217,14047.82491,13828.32765,13608.83038,13389.33312,13169.83585
Battery Storage,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery Storage,Efficiency,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
