PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SMR,Heat Rate (Btu/kWh),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMR,CAPEX(2012$/MW),33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000,33800000
SMR,FOM(2012$/MW/yr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR CCS,Heat Rate (Btu/kWh),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMR CCS,CAPEX(2012$/MW),73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000,73480000
SMR CCS,FOM(2012$/MW/yr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR CCS,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
