,p60p61,p60p62,p60p63,p61p62,p61p63,p61p64,p61p65,p63p64,p63p67,p64p65,p64p67,p65p67,p61p60,p62p60,p63p60,p62p61,p63p61,p64p61,p65p61,p64p63,p67p63,p65p64,p67p64,p67p65
2050-01-16 00:00:00,0.384987843674795,0.8652291645232835,0.5277097225984242,0.0,0.0,0.0,1.2841020591906447,5.8126897327758575,1.342353331985727,0.47970196786464303,0.0,0.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.5890591649112142,0.0,0.0,0.0,0.0
2050-01-16 01:00:00,0.10060470525058765,0.7217360238966841,0.9532679949148815,0.0,0.0,0.0,1.2841020591906447,4.579502499999999,0.19686361458410495,0.0,0.0,0.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07748021502600899
2050-01-16 02:00:00,0.0,0.6085754482832275,1.423881494963863,0.0,0.0,0.0,1.2841020591906447,2.937464897683345,1.2662048771304626,0.6418882576833447,0.0,0.0,0.14685494887491807,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0
2050-01-16 03:00:00,0.0,0.7848453579913227,2.003,0.0,0.0,0.0,0.47166098013889446,5.8126897327758575,0.9196074232416551,3.5257286127758576,0.0,0.9384416236958399,0.8761241298165872,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0
2050-01-16 04:00:00,0.41775404242000724,1.0134470562781768,0.0,0.0,0.04901413390375503,0.0,1.2841020591906447,5.312308163373244,1.1253307245098636,2.9263076033732434,0.0,0.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0
2050-01-16 05:00:00,0.14886673786282445,1.01731811307196,0.0,0.0,0.0,0.0,0.799898455929088,5.8126897327758575,1.727467646845179,3.1344404327758566,0.0,0.0,0.0,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.975312274762949
2050-01-16 06:00:00,1.5081822117175205,0.0,0.0,0.057415728430178004,0.0,0.0017319023395480637,1.2841020591906447,5.8126897327758575,2.138,2.702395805115405,0.0,0.0,0.0,0.0,0.39487514503869736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207,1.4890412803454023
2050-01-16 07:00:00,1.4777015475285664,0.0,0.0,0.0,0.0,0.238,1.2841020591906447,5.8126897327758575,2.138,2.7001244527758583,0.0,0.0,0.0,0.22796093671848272,0.031020510675190238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207,1.051770780345402
2050-01-16 08:00:00,0.33534585633470304,0.8233531089547325,0.0,0.0,0.0,0.0,1.0907322679858005,0.0,0.0,0.0,0.0,5.854304562087371,0.0,0.0,0.0,0.832,0.0,0.0,0.0,5.8126897327758575,0.0,11.480816322018548,0.0,0.0
2050-01-16 09:00:00,0.0,0.0,2.003,0.28355854930492636,0.12911020750992486,0.0,0.0,0.0,0.0,0.0,2.207,10.888044393104996,0.961463955579928,0.0,0.0,0.0,0.0,0.238,1.2841020591906447,5.8126897327758575,2.138,15.856957344207132,0.0,0.0
