,0
Coal Steam CCSp61,0.0
Combined Cyclep61,0.0
Combined Cycle CCSp61,0.0
Nuclearp61,0.12171044680475973
Battery Storagep61,76.52909948889632
Hydrogenp61,14.160775603072237
Coal Steam CCSp62,0.0
Combined Cyclep62,0.0
Combined Cycle CCSp62,0.0
Nuclearp62,0.19161822089877
Battery Storagep62,27.239998209626872
Hydrogenp62,2.956501919296364
Coal Steam CCSp60,0.0
Combined Cyclep60,0.0
Combined Cycle CCSp60,0.0
Nuclearp60,0.18339950258613258
Battery Storagep60,27.433231363587662
Hydrogenp60,3.144600159915597
Coal Steam CCSp63,0.0
Combined Cyclep63,0.0
Combined Cycle CCSp63,0.0
Nuclearp63,0.6044686702463195
Battery Storagep63,209.92948391648883
Hydrogenp63,28.166185922699714
Coal Steam CCSp64,0.0
Combined Cyclep64,0.0
Combined Cycle CCSp64,0.0
Nuclearp64,1.4520817224933822
Battery Storagep64,28.540362551712832
Hydrogenp64,4.464859505189226
Coal Steam CCSp65,0.0
Combined Cyclep65,0.0
Combined Cycle CCSp65,0.0
Nuclearp65,0.9520372437487322
Battery Storagep65,27.36835222650067
Hydrogenp65,5.2939049622960646
Coal Steam CCSp67,0.0
Combined Cyclep67,0.0
Combined Cycle CCSp67,0.0
Nuclearp67,0.0
Battery Storagep67,21.929608437839168
Hydrogenp67,6.116892667875531
windlat26.0lon-97.5p65,15.990781199571167
windlat27.0lon-99.375p65,0.4679103683964817
windlat27.5lon-99.375p65,15.992159678739089
windlat28.0lon-99.375p65,0.0
windlat28.5lon-100.0p65,0.0
windlat28.5lon-97.5p65,1.1484754699912336
windlat29.0lon-99.375p65,1.2762802141058538
windlat29.0lon-96.875p65,0.0
windlat29.5lon-98.75p65,15.741552280782807
windlat29.5lon-96.25p65,16.0
solarlat26.0lon-97.5p65,10.611205235139053
solarlat27.0lon-99.375p65,11.909784141761065
solarlat27.5lon-99.375p65,1.2348742144031846
solarlat28.0lon-99.375p65,8.05879149333829
solarlat28.5lon-100.0p65,0.0
solarlat28.5lon-97.5p65,3.3776357771087584
solarlat29.0lon-99.375p65,0.0
solarlat29.0lon-96.875p65,0.0
solarlat29.5lon-98.75p65,0.0
solarlat29.5lon-96.25p65,2.527621708812002
windlat29.5lon-103.125p61,0.0
windlat30.0lon-103.75p61,0.0
windlat30.0lon-101.25p61,1.2134303927702008
windlat30.5lon-103.125p61,0.0
windlat30.5lon-100.625p61,15.776356940237775
windlat31.0lon-105.0p61,0.0
windlat31.0lon-102.5p61,0.0
windlat31.5lon-105.625p61,0.0
windlat31.5lon-100.625p61,15.893577935953623
windlat32.0lon-104.375p61,0.0
windlat32.0lon-99.375p61,15.9365960291362
windlat32.5lon-100.0p61,0.0
solarlat29.5lon-103.125p61,2.2536370653610547
solarlat30.0lon-103.75p61,4.3773259947144965
solarlat30.0lon-101.25p61,0.0
solarlat30.5lon-103.125p61,3.6922321819775132
solarlat30.5lon-100.625p61,0.0
solarlat31.0lon-105.0p61,0.0
solarlat31.0lon-102.5p61,3.8795281105229074
solarlat31.5lon-105.625p61,7.664911997331551
solarlat31.5lon-100.625p61,0.0
solarlat32.0lon-104.375p61,0.0
solarlat32.0lon-99.375p61,139.1274365364796
solarlat32.5lon-100.0p61,6.986449318963764
windlat30.0lon-98.75p64,0.0
windlat30.0lon-96.25p64,16.0
windlat30.5lon-98.125p64,0.0
windlat31.0lon-100.0p64,0.0
solarlat30.0lon-98.75p64,19.16169970025441
solarlat30.0lon-96.25p64,1.6079764455938712
solarlat30.5lon-98.125p64,123.63150177177425
solarlat31.0lon-100.0p64,0.0
windlat31.0lon-97.5p63,16.0
windlat31.5lon-98.125p63,0.0
windlat31.5lon-95.625p63,15.976056382660913
windlat32.0lon-96.875p63,16.0
windlat32.5lon-97.5p63,0.0
windlat32.5lon-95.0p63,0.0
windlat33.0lon-97.5p63,0.8977319991688546
windlat33.5lon-98.75p63,0.4125843242221278
windlat33.5lon-96.25p63,0.0
windlat34.0lon-98.125p63,0.0
solarlat31.0lon-97.5p63,3.5436588861297778
solarlat31.5lon-98.125p63,0.0
solarlat31.5lon-95.625p63,0.0
solarlat32.0lon-96.875p63,178.12128678096374
solarlat32.5lon-97.5p63,614.7068317522032
solarlat32.5lon-95.0p63,1.9729588398041786
solarlat33.0lon-98.75p63,35.59869411329487
solarlat33.0lon-96.25p63,6.6936415851417514
solarlat33.5lon-97.5p63,20.6928392807582
solarlat33.5lon-95.0p63,7.928553425698933
solarlat34.0lon-98.75p63,3.5801375750819395
windlat31.5lon-103.125p62,0.0
windlat32.0lon-101.875p62,0.3377138063323858
windlat32.5lon-102.5p62,0.0
solarlat31.5lon-103.125p62,2.0991549294973275
solarlat32.0lon-101.875p62,5.426504969342989
solarlat32.5lon-102.5p62,4.4884521583253525
windlat33.0lon-100.0p60,0.0
windlat33.5lon-101.25p60,0.0
windlat34.0lon-100.625p60,0.0
windlat34.5lon-100.625p60,0.3511662004193754
solarlat33.5lon-100.0p60,3.224438994937387
solarlat34.5lon-100.0p60,0.0
