,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
157,Brazos Wind Farm,56111_G_GEN1,56111,G,GEN1,,Onshore Wind,,ERC_WEST,Texas,48,Scurry,415,48415,160.0,0.0,2003.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56111.0,32.94793,-101.147784,,,,,,,,,0.0,0.0,POINT (-101.147784 32.94793),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,160.0,16.33437083148066,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56111+GEN1
158,Sweetwater Wind  1 LLC,56211_G_SW1,56211,G,SW1,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,37.5,0.0,2003.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56211.0,32.3606,-100.3389,,,,,,,,,0.0,0.0,POINT (-100.3389 32.3606),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,37.5,3.828368163628279,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56211+SW1
159,Sweetwater Wind 2 LLC,56212_G_SW2,56212,G,SW2,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,91.5,0.0,2005.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56212.0,32.3472,-100.3703,,,,,,,,,0.0,0.0,POINT (-100.3703 32.3472),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,91.5,9.341218319253002,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56212+SW2
160,Sweetwater Wind 3 LLC,56311_G_SW3,56311,G,SW3,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,135.0,0.0,2005.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56311.0,32.290833,-100.4219,,,,,,,,,0.0,0.0,POINT (-100.4219 32.290833),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,135.0,13.782125389061804,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56311+SW3
161,Sweetwater Wind 4 LLC,56337_G_SW4,56337,G,SW4,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,241.0,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56337.0,32.3122,-100.5303,,,,,,,,,0.0,0.0,POINT (-100.5303 32.3122),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,241.0,24.603646064917744,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56337+SW4
162,Sweetwater Wind 5,56372_G_SW5,56372,G,SW5,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,80.5,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56372.0,32.236944,-100.4833,,,,,,,,,0.0,0.0,POINT (-100.4833 32.236944),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,80.5,8.218230324588706,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56372+SW5
163,Post Wind Farm LP,56457_G_1,56457,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Borden,33,48033,84.0,0.0,2006.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56457.0,32.92544,-101.219397,,,,,,,,,0.0,0.0,POINT (-101.219397 32.92544),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,84.0,8.575544686527346,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56457+1
164,Buffalo Gap 2 Wind Farm,56484_G_1,56484,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,232.5,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56484.0,32.318221,-100.176986,,,,,,,,,0.0,0.0,POINT (-100.176986 32.318221),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,232.5,23.73588261449533,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56484+1
165,Scurry County Wind LP,56506_G_SCW,56506,G,SCW,,Onshore Wind,,ERC_WEST,Texas,48,Scurry,415,48415,130.5,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56506.0,32.7204,-100.9952,,,,,,,,,0.0,0.0,POINT (-100.9952 32.7204),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,130.5,13.322721209426412,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56506+SCW
166,Champion Wind Farm LLC,56592_G_CH1,56592,G,CH1,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,126.5,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56592.0,32.3983,-100.6481,,,,,,,,,0.0,0.0,POINT (-100.6481 32.3983),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,126.5,12.914361938639395,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56592+CH1
