,0
Coal Steam CCSp61,0.0
Combined Cyclep61,0.0
Combined Cycle CCSp61,0.0
Nuclearp61,0.0
Battery Storagep61,78.64488122948718
Hydrogenp61,3.3316611647945296
Coal Steam CCSp62,0.0
Combined Cyclep62,0.0
Combined Cycle CCSp62,0.0
Nuclearp62,0.0
Battery Storagep62,38.20086769267447
Hydrogenp62,2.5006978562760995
Coal Steam CCSp60,0.0
Combined Cyclep60,0.0
Combined Cycle CCSp60,0.0
Nuclearp60,0.0
Battery Storagep60,39.493707987489465
Hydrogenp60,2.5258288999422756
Coal Steam CCSp63,0.0
Combined Cyclep63,0.0
Combined Cycle CCSp63,0.0
Nuclearp63,0.0
Battery Storagep63,197.66539289351797
Hydrogenp63,21.42104595443417
Coal Steam CCSp64,0.0
Combined Cyclep64,0.0
Combined Cycle CCSp64,0.0
Nuclearp64,0.0
Battery Storagep64,140.7322030521794
Hydrogenp64,14.140378156240333
Coal Steam CCSp65,0.0
Combined Cyclep65,0.0
Combined Cycle CCSp65,0.0
Nuclearp65,0.0
Battery Storagep65,45.01012959451238
Hydrogenp65,6.530809140564464
Coal Steam CCSp67,0.0
Combined Cyclep67,0.0
Combined Cycle CCSp67,0.0
Nuclearp67,1.9113580967110884
Battery Storagep67,34.09294459115708
Hydrogenp67,7.502408174523839
windlat26.0lon-97.5p65,0.0
windlat27.0lon-99.375p65,0.26680446781484995
windlat27.5lon-99.375p65,0.0
windlat28.0lon-99.375p65,16.0
windlat28.5lon-100.0p65,15.051244606281669
windlat28.5lon-97.5p65,0.0
windlat29.0lon-99.375p65,0.0
windlat29.0lon-96.875p65,15.934936003388186
windlat29.5lon-98.75p65,0.0
windlat29.5lon-96.25p65,0.0
solarlat26.0lon-97.5p65,0.0
solarlat27.0lon-99.375p65,0.0
solarlat27.5lon-99.375p65,0.0
solarlat28.0lon-99.375p65,8.143854900519948
solarlat28.5lon-100.0p65,3.8477779363278586
solarlat28.5lon-97.5p65,0.0
solarlat29.0lon-99.375p65,0.0
solarlat29.0lon-96.875p65,0.8828468783903878
solarlat29.5lon-98.75p65,3.8257271779253452
solarlat29.5lon-96.25p65,2.7283591235902804
windlat29.5lon-103.125p61,0.0
windlat30.0lon-103.75p61,0.0
windlat30.0lon-101.25p61,0.0
windlat30.5lon-103.125p61,0.6796485605082769
windlat30.5lon-100.625p61,0.0
windlat31.0lon-105.0p61,0.27859858735248977
windlat31.0lon-102.5p61,0.6804372330251959
windlat31.5lon-105.625p61,0.5085295231321858
windlat31.5lon-100.625p61,0.0
windlat32.0lon-104.375p61,0.46345995671607687
windlat32.0lon-99.375p61,0.0
windlat32.5lon-100.0p61,0.0
solarlat29.5lon-103.125p61,4.732366155233464
solarlat30.0lon-103.75p61,4.723697260547358
solarlat30.0lon-101.25p61,1.843625385511439
solarlat30.5lon-103.125p61,0.0
solarlat30.5lon-100.625p61,10.007087894447526
solarlat31.0lon-105.0p61,3.8579066588219506
solarlat31.0lon-102.5p61,0.0
solarlat31.5lon-105.625p61,5.281100894273493
solarlat31.5lon-100.625p61,165.6312942928473
solarlat32.0lon-104.375p61,6.010607023735108
solarlat32.0lon-99.375p61,0.0
solarlat32.5lon-100.0p61,0.0
windlat30.0lon-98.75p64,15.900094587563206
windlat30.0lon-96.25p64,0.0
windlat30.5lon-98.125p64,15.989283063784693
windlat31.0lon-100.0p64,15.967640202346425
solarlat30.0lon-98.75p64,0.0
solarlat30.0lon-96.25p64,2.7801335653326857
solarlat30.5lon-98.125p64,0.0
solarlat31.0lon-100.0p64,494.4636572495055
windlat31.0lon-97.5p63,0.0
windlat31.5lon-98.125p63,16.0
windlat31.5lon-95.625p63,0.0
windlat32.0lon-96.875p63,0.0
windlat32.5lon-97.5p63,15.848825236650823
windlat32.5lon-95.0p63,15.923381536418717
windlat33.0lon-97.5p63,0.0
windlat33.5lon-98.75p63,0.0
windlat33.5lon-96.25p63,13.255412113115046
windlat34.0lon-98.125p63,0.6886364549328219
solarlat31.0lon-97.5p63,0.0
solarlat31.5lon-98.125p63,624.4711082093344
solarlat31.5lon-95.625p63,5.023024427405953
solarlat32.0lon-96.875p63,0.0
solarlat32.5lon-97.5p63,0.0
solarlat32.5lon-95.0p63,4.6896815335706235
solarlat33.0lon-98.75p63,0.0
solarlat33.0lon-96.25p63,0.0
solarlat33.5lon-97.5p63,0.0
solarlat33.5lon-95.0p63,16.3890436900615
solarlat34.0lon-98.75p63,0.0
windlat31.5lon-103.125p62,0.0
windlat32.0lon-101.875p62,0.650059765080016
windlat32.5lon-102.5p62,9.352908091901025
solarlat31.5lon-103.125p62,0.0
solarlat32.0lon-101.875p62,0.0
solarlat32.5lon-102.5p62,0.0
windlat33.0lon-100.0p60,0.0
windlat33.5lon-101.25p60,0.42657609906689375
windlat34.0lon-100.625p60,0.5900715256094476
windlat34.5lon-100.625p60,0.0
solarlat33.5lon-100.0p60,0.0
solarlat34.5lon-100.0p60,3.8031300846949043
