,0
Coal Steam CCSp61,0.0
Combined Cyclep61,0.0
Combined Cycle CCSp61,0.0
Nuclearp61,0.0
Battery Storagep61,76.88125799544862
Hydrogenp61,3.4982551401563575
Coal Steam CCSp62,0.0
Combined Cyclep62,0.0
Combined Cycle CCSp62,0.0
Nuclearp62,0.0
Battery Storagep62,40.35445387337144
Hydrogenp62,2.6996990381746295
Coal Steam CCSp60,0.0
Combined Cyclep60,0.0
Combined Cycle CCSp60,0.0
Nuclearp60,0.0
Battery Storagep60,42.061083380223664
Hydrogenp60,2.7401847777847186
Coal Steam CCSp63,0.0
Combined Cyclep63,0.0
Combined Cycle CCSp63,0.0
Nuclearp63,0.0
Battery Storagep63,199.74714333859768
Hydrogenp63,21.314316098606128
Coal Steam CCSp64,0.0
Combined Cyclep64,0.0
Combined Cycle CCSp64,0.0
Nuclearp64,0.0
Battery Storagep64,136.1948518619548
Hydrogenp64,13.900732638112135
Coal Steam CCSp65,0.0
Combined Cyclep65,0.0
Combined Cycle CCSp65,0.0
Nuclearp65,0.0
Battery Storagep65,49.230751338434445
Hydrogenp65,6.998602541967415
Coal Steam CCSp67,0.0
Combined Cyclep67,0.0
Combined Cycle CCSp67,0.0
Nuclearp67,1.699978193688291
Battery Storagep67,34.65675756581923
Hydrogenp67,7.362678218995847
windlat26.0lon-97.5p65,0.0
windlat27.0lon-99.375p65,0.0
windlat27.5lon-99.375p65,0.0
windlat28.0lon-99.375p65,16.0
windlat28.5lon-100.0p65,14.271383911840346
windlat28.5lon-97.5p65,0.0
windlat29.0lon-99.375p65,0.0
windlat29.0lon-96.875p65,15.766386538333766
windlat29.5lon-98.75p65,0.0
windlat29.5lon-96.25p65,0.0
solarlat26.0lon-97.5p65,0.0
solarlat27.0lon-99.375p65,0.0
solarlat27.5lon-99.375p65,0.0
solarlat28.0lon-99.375p65,0.0
solarlat28.5lon-100.0p65,1.0310126484848752
solarlat28.5lon-97.5p65,0.0
solarlat29.0lon-99.375p65,4.9634988187231865
solarlat29.0lon-96.875p65,2.618341714957735
solarlat29.5lon-98.75p65,5.387490946331258
solarlat29.5lon-96.25p65,0.0
windlat29.5lon-103.125p61,0.0
windlat30.0lon-103.75p61,0.0
windlat30.0lon-101.25p61,0.0
windlat30.5lon-103.125p61,1.0783469543044895
windlat30.5lon-100.625p61,0.0
windlat31.0lon-105.0p61,0.1489672765978245
windlat31.0lon-102.5p61,0.4247053517596633
windlat31.5lon-105.625p61,0.0
windlat31.5lon-100.625p61,0.0
windlat32.0lon-104.375p61,0.0
windlat32.0lon-99.375p61,0.0
windlat32.5lon-100.0p61,0.37954709494741934
solarlat29.5lon-103.125p61,0.0
solarlat30.0lon-103.75p61,0.0
solarlat30.0lon-101.25p61,4.152689694745787
solarlat30.5lon-103.125p61,0.0
solarlat30.5lon-100.625p61,6.950064812262042
solarlat31.0lon-105.0p61,3.418032666908326
solarlat31.0lon-102.5p61,0.0
solarlat31.5lon-105.625p61,0.0
solarlat31.5lon-100.625p61,186.74992602989374
solarlat32.0lon-104.375p61,4.209606267117628
solarlat32.0lon-99.375p61,0.0
solarlat32.5lon-100.0p61,0.0
windlat30.0lon-98.75p64,16.0
windlat30.0lon-96.25p64,0.0
windlat30.5lon-98.125p64,15.868542930120546
windlat31.0lon-100.0p64,16.0
solarlat30.0lon-98.75p64,0.0
solarlat30.0lon-96.25p64,0.0
solarlat30.5lon-98.125p64,0.0
solarlat31.0lon-100.0p64,504.2867295527492
windlat31.0lon-97.5p63,0.0
windlat31.5lon-98.125p63,16.0
windlat31.5lon-95.625p63,0.0
windlat32.0lon-96.875p63,0.0
windlat32.5lon-97.5p63,16.0
windlat32.5lon-95.0p63,15.97816064149989
windlat33.0lon-97.5p63,0.0
windlat33.5lon-98.75p63,0.0
windlat33.5lon-96.25p63,13.109339409510653
windlat34.0lon-98.125p63,0.41923168043797343
solarlat31.0lon-97.5p63,0.0
solarlat31.5lon-98.125p63,648.7266712875748
solarlat31.5lon-95.625p63,2.7294067237204445
solarlat32.0lon-96.875p63,0.0
solarlat32.5lon-97.5p63,0.0
solarlat32.5lon-95.0p63,0.0
solarlat33.0lon-98.75p63,0.0
solarlat33.0lon-96.25p63,0.0
solarlat33.5lon-97.5p63,0.0
solarlat33.5lon-95.0p63,0.0
solarlat34.0lon-98.75p63,0.0
windlat31.5lon-103.125p62,1.2842989489090293
windlat32.0lon-101.875p62,0.0
windlat32.5lon-102.5p62,10.44251237945913
solarlat31.5lon-103.125p62,0.0
solarlat32.0lon-101.875p62,0.0
solarlat32.5lon-102.5p62,0.0
windlat33.0lon-100.0p60,0.5910824990048922
windlat33.5lon-101.25p60,0.5467922386581883
windlat34.0lon-100.625p60,0.4012363623680537
windlat34.5lon-100.625p60,0.0
solarlat33.5lon-100.0p60,0.0
solarlat34.5lon-100.0p60,4.20924183572161
