,lon,lat,wind_cf
0,-122.665375,45.528694,0.292342559
1,-122.616776,42.105118,0.207538494
2,-122.61379,42.099976,0.207538494
3,-122.61123,42.095547,0.207538494
4,-122.320595,47.593704,0.207135543
5,-122.320595,47.593704,0.207135543
6,-122.30454,37.80836,0.106029079
7,-122.30454,37.80836,0.106029079
8,-121.572334,38.574905,0.17227441
9,-121.516975,38.624874,0.140942067
10,-121.510826,38.56827,0.140036664
11,-121.336174,37.59324,0.148310089
12,-121.336174,37.59324,0.148310089
13,-118.95157,35.00688,0.069860365
14,-118.95157,35.00688,0.069860365
15,-118.69092,47.095043,0.293736159
16,-118.68917,39.99075,0.179129606
17,-118.68292,47.096043,0.293736159
18,-118.67782,40.004036,0.169704585
19,-118.25776,45.357952,0.162149242
20,-118.25776,45.357952,0.162149242
21,-118.207436,33.826466,0.046036151
22,-118.207436,33.826466,0.046036151
23,-118.17255,34.01634,0.032940503
24,-118.17255,34.01634,0.032940503
25,-117.73533,33.645245,0.054851662
26,-117.73533,33.645245,0.054851662
27,-117.33612,40.9117,0.20190878
28,-117.13161,32.771725,0.035055882
29,-117.01377,34.88577,0.308091723
30,-116.996826,44.065998,0.206425471
31,-116.97018,44.04363,0.203729263
32,-116.75175,47.674294,0.169732415
33,-115.79445,43.203648,0.281834344
34,-115.720566,40.878582,0.180102825
35,-115.71294,40.889877,0.175537482
36,-115.1521,47.29671,0.133222984
37,-115.145615,47.297417,0.133222984
38,-115.05168,33.6247,0.175808105
39,-115.04342,33.622623,0.18674618
40,-114.19525,36.776375,0.24028661
41,-114.16791,36.78194,0.23007517
42,-114.14461,36.786682,0.214406075
43,-114.12119,35.1,0.260359562
44,-114.12119,35.1,0.260359562
45,-114.11492,35.11251,0.260359562
46,-112.638084,46.008045,0.180284827
47,-112.603165,38.57733,0.273064643
48,-112.603165,38.57733,0.273064643
49,-112.43945,42.912075,0.227645321
50,-112.10823,33.46165,0.110891708
51,-111.91349,40.764374,0.160758808
52,-111.91349,40.764374,0.160758808
53,-111.90431,40.7185,0.173383491
54,-111.90431,40.7185,0.173383491
55,-111.66219,35.171593,0.247597378
56,-110.0977,38.97012,0.165910774
57,-110.09628,38.96967,0.165910774
58,-109.79038,32.312454,0.207128919
59,-109.7835,32.3165,0.207128919
60,-109.77739,32.31917,0.207128919
61,-109.35424,45.68721,0.249133551
62,-109.34205,45.682423,0.249133551
63,-109.32477,45.675644,0.253838593
64,-109.32477,45.675644,0.253838593
65,-109.16083,35.297955,0.199888984
66,-109.15709,35.299564,0.209331275
67,-109.15709,35.299564,0.209331275
68,-108.721985,41.66647,0.374794251
69,-108.71415,41.66493,0.373372196
70,-108.70495,41.663116,0.373372196
71,-108.471664,39.10384,0.142957349
72,-107.38739,39.561596,0.122994197
73,-107.37693,39.5607,0.120203584
74,-106.73107,32.258778,0.190103048
75,-106.68903,44.371567,0.228709106
76,-106.68903,44.371567,0.228709106
77,-106.62936,35.10517,0.170177378
78,-106.62936,35.10517,0.170177378
79,-105.68407,42.810143,0.332689511
80,-104.98936,39.780136,0.155869916
81,-104.98936,39.780136,0.155869916
82,-104.8508,41.113724,0.362553697
83,-104.44028,36.780216,0.200403027
84,-104.43933,36.78285,0.200403027
85,-104.43854,36.785873,0.200403027
86,-104.43854,36.785873,0.200403027
87,-104.056915,31.088394,0.330415355
88,-102.972534,44.11366,0.331357927
89,-102.951485,44.112144,0.333268849
90,-102.92451,44.110207,0.338796001
91,-102.92451,44.110207,0.338796001
92,-102.07633,35.19333,0.409355825
93,-102.07116,35.192467,0.409355825
94,-102.06804,35.191948,0.409355825
95,-101.594765,39.32971,0.376406314
96,-101.03523,30.680891,0.37911788
97,-101.03523,30.680891,0.37911788
98,-101.03231,30.680204,0.37911788
99,-101.0314,30.67999,0.37911788
100,-100.97679,41.13406,0.356112969
101,-100.97679,41.13406,0.356112969
102,-100.66973,32.41121,0.385299597
103,-100.668785,32.41114,0.385299597
104,-100.668274,32.411102,0.385299597
105,-99.82782,39.002075,0.398548721
106,-99.81983,39.00047,0.398548721
107,-99.130295,40.670948,0.388027618
108,-99.122505,40.67065,0.388027618
109,-98.50081,29.428764,0.241177469
110,-98.50081,29.428764,0.241177469
111,-98.40535,29.473106,0.270338301
112,-98.40535,29.473106,0.270338301
113,-98.30921,43.695667,0.406158799
114,-98.29818,43.69557,0.406158799
115,-98.28593,43.695465,0.409546105
116,-97.94483,38.87849,0.407158323
117,-97.48823,35.462193,0.399033577
118,-97.46726,35.466553,0.398964676
119,-97.4292,35.600163,0.40227287
120,-97.398895,27.799412,0.346340789
121,-97.20707,40.822292,0.401177237
122,-96.89776,32.90793,0.340378971
123,-96.89776,32.90793,0.340378971
124,-96.82328,32.642193,0.374954982
125,-96.81874,37.897747,0.412879728
126,-96.81101,37.903557,0.412879728
127,-96.72656,32.661762,0.350728778
128,-96.62972,32.823128,0.333109109
129,-96.6276,32.69912,0.343667212
130,-96.6276,32.69912,0.343667212
131,-95.36546,29.770594,0.235536461
132,-95.36546,29.770594,0.235536461
133,-94.619736,35.393463,0.255597141
134,-94.619736,35.393463,0.255597141
135,-94.5913,39.106804,0.346226788
136,-94.5913,39.106804,0.346226788
137,-94.56989,39.106915,0.346226788
138,-94.26146,33.474808,0.304029099
139,-93.7773,41.59221,0.392196094
140,-93.7773,41.59221,0.392196094
141,-93.648834,37.183105,0.36378937
142,-93.634636,37.187702,0.370123235
143,-93.62032,37.187115,0.370123235
144,-93.57564,41.652126,0.369072374
145,-93.57564,41.652126,0.369072374
146,-93.368256,32.58548,0.265629001
147,-93.36428,32.585968,0.264730984
148,-93.36112,32.586353,0.264730984
149,-93.32092,43.683666,0.4358082
150,-93.185844,45.067116,0.368962718
151,-92.25406,34.778324,0.258991681
152,-90.44046,43.983215,0.403464138
153,-90.43039,30.085167,0.237136922
154,-90.210365,38.610245,0.296277508
155,-90.20572,32.275078,0.225854664
156,-90.19331,35.171036,0.31376774
157,-90.19331,35.171036,0.31376774
158,-90.18907,38.620186,0.297115566
159,-90.17725,32.27623,0.225758853
160,-90.15195,35.155933,0.299643414
161,-90.15195,35.155933,0.299643414
162,-89.90961,38.74277,0.332648223
163,-89.53325,36.87362,0.325805661
164,-89.05908,41.36778,0.351872451
165,-89.05908,41.36778,0.351872451
166,-89.02134,40.443707,0.367806728
167,-89.02134,40.443707,0.367806728
168,-89.00309,40.53893,0.379088824
169,-88.96157,42.249084,0.357797793
170,-88.57476,39.10056,0.328001876
171,-88.57476,39.10056,0.328001876
172,-88.51238,39.14832,0.333884089
173,-88.51238,39.14832,0.333884089
174,-88.2838,40.14599,0.362809642
175,-88.2838,40.14599,0.362809642
176,-88.11694,30.627644,0.207082595
177,-87.89213,41.76078,0.32387972
178,-87.89213,41.76078,0.32387972
179,-87.74212,41.56542,0.342778357
180,-87.68714,41.618336,0.331178204
181,-87.68714,41.618336,0.331178204
182,-87.66813,41.57799,0.32411768
183,-87.3005,41.569057,0.351759635
184,-87.2239,41.58999,0.373626129
185,-86.82647,33.52155,0.200069822
186,-86.79955,36.17181,0.230608472
187,-86.78134,36.148575,0.235548537
188,-86.78134,36.148575,0.235548537
189,-86.775505,36.19466,0.227109824
190,-86.775505,36.19466,0.227109824
191,-86.75818,36.153923,0.235548537
192,-86.75818,36.153923,0.235548537
193,-86.75414,33.54412,0.207670381
194,-86.73196,36.140625,0.236573611
195,-86.32215,32.366657,0.182598391
196,-86.2643,39.71281,0.311652875
197,-86.143654,39.755085,0.291268291
198,-86.143654,39.755085,0.291268291
199,-86.142235,39.774815,0.29094296
200,-86.142235,39.774815,0.29094296
201,-86.03496,39.798866,0.311244317
202,-86.03496,39.798866,0.311244317
203,-85.7416,38.257843,0.237884166
204,-85.45009,30.746384,0.196993671
205,-85.45009,30.746384,0.196993671
206,-85.44995,30.746384,0.196993671
207,-85.444115,34.970993,0.158298168
208,-85.208565,35.005314,0.192359811
209,-84.996544,42.297195,0.348914107
210,-84.62487,38.876446,0.308195217
211,-84.52207,39.095818,0.238694303
212,-84.52207,39.095818,0.238694303
213,-84.49284,33.76455,0.218481071
214,-84.48693,33.620632,0.264974968
215,-84.48693,33.620632,0.264974968
216,-84.46066,33.890247,0.229853996
217,-84.46066,33.890247,0.229853996
218,-84.40079,33.632908,0.249093903
219,-84.25925,33.891705,0.213195042
220,-84.25925,33.891705,0.213195042
221,-84.25249,35.870235,0.221368275
222,-84.241196,33.71465,0.217805179
223,-83.97204,35.956314,0.201048663
224,-83.58117,41.569046,0.332468064
225,-83.58117,41.569046,0.332468064
226,-83.38821,36.067165,0.201798621
227,-83.38821,36.067165,0.201798621
228,-83.05792,42.368496,0.290713388
229,-83.01392,39.951336,0.260601985
230,-82.98567,39.954483,0.262641771
231,-82.754166,30.26659,0.177740088
