gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg,total_demand_kg,total_supply_kg
2831,Reference,38.22902461,-84.55782834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2832,Reference,38.22973177,-85.67411518,0,52720914.11,0,0,675009.9041,0,0,0,0,0,0,0,620836.2863,53395924.02,620836.2863
2833,Reference,38.25043117,-122.6457298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2834,Reference,38.26007356,-122.0339381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2835,Reference,38.27823321,-104.6402997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2836,Reference,38.27984426,-77.50160888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2837,Reference,38.29543708,-122.2906586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,Reference,38.29807353,-76.46284485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2839,Reference,38.2982918,-122.4749362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2840,Reference,38.36433502,-121.9677198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2841,Reference,38.37611409,-81.70227293,0,14836518.83,0,0,0,0,0,0,0,0,0,0,29489723.6,14836518.83,29489723.6
2842,Reference,38.37892834,-75.13102183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2843,Reference,38.42354172,-78.88691883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2844,Reference,38.44053626,-75.59289594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,Reference,38.44093845,-82.48227945,0,28024399.86,0,0,0,0,0,112484783.7,0,0,0,0,29317269.08,140509183.6,29317269.08
2846,Reference,38.44286786,-122.7415819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2847,Reference,38.55453781,-121.7397747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2848,Reference,38.57703207,-92.20345233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2849,Reference,38.61174081,-76.98582053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2850,Reference,38.621486,-115.617898,0,0,0,0,0,0,0,1926109.311,0,0,0,0,0,1926109.311,0
2851,Reference,38.63088594,-90.34245531,0,235826197.6,0,0,19170277.67,0,0,0,0,0,0,0,3880226.79,254996475.3,3880226.79
2852,Reference,38.63899674,-121.3278234,0,6307388.825,0,0,0,0,0,0,0,0,0,0,1983227.026,6307388.825,1983227.026
2853,Reference,38.67347567,-121.7619463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2854,Reference,38.7409987,-82.92741907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2855,Reference,38.76571494,-101.0293485,0,0,0,0,13095189.92,0,0,0,0,0,0,0,0,13095189.92,0
2856,Reference,38.81464221,-97.61206099,0,98175035.42,0,0,8775127.021,0,0,0,0,0,0,0,310418.1432,106950162.4,310418.1432
2857,Reference,38.87167489,-104.7743588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2858,Reference,38.89651017,-77.18950287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2859,Reference,38.89785959,-90.12501488,0,86922282.77,0,0,0,0,0,135983317.3,0,0,0,0,256094968.1,222905600.1,256094968.1
2860,Reference,38.89938425,-94.3755258,0,0,0,0,12825185.75,0,0,0,0,0,0,0,0,12825185.75,0
2861,Reference,38.92777623,-121.0833039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2862,Reference,38.95587985,-92.32750625,0,0,0,0,7965115.552,0,0,0,0,0,0,0,0,7965115.552,0
2863,Reference,38.95642764,-95.26030433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2864,Reference,39.00560231,-74.88925815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2865,Reference,39.04007402,-94.5961566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,Reference,39.04267002,-95.69179814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2867,Reference,39.05392411,-96.82539862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,Reference,39.08931801,-108.5626165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869,Reference,39.1008509,-111.9321822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2870,Reference,39.12334249,-121.606948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2871,Reference,39.14468238,-75.54434658,0,5339774.649,0,0,0,0,0,0,0,0,0,0,0,5339774.649,0
2872,Reference,39.15424599,-119.753896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2873,Reference,39.15886606,-78.15963841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2874,Reference,39.16249558,-86.5480123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875,Reference,39.18625073,-84.46209094,0,14012199.93,0,0,0,0,0,0,0,0,0,0,5949681.077,14012199.93,5949681.077
2876,Reference,39.19454819,-96.5903308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,Reference,39.19996619,-121.042181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2878,Reference,39.23262004,-85.92000875,0,40491996.01,0,0,0,0,0,0,0,0,0,0,1965981.573,40491996.01,1965981.573
2879,Reference,39.2330649,-76.64679705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880,Reference,39.26441854,-81.55259479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881,Reference,39.28977399,-94.92073483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,Reference,39.29647805,-80.31241785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883,Reference,39.33768789,-120.1739235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,Reference,39.3460383,-83.00667586,0,0,0,0,14850215.12,0,0,0,0,0,0,0,0,14850215.12,0
2885,Reference,39.37057779,-74.59101524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,Reference,39.41565965,-77.40820251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887,Reference,39.44127753,-75.22379323,0,5759561.735,0,0,0,0,0,73269198.17,0,0,0,0,109163713.7,79028759.91,109163713.7
2888,Reference,39.47032686,-80.1502196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
