,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
367,Panda Sherman Power Station,58005_G_CTG-2,58005,G,CTG-2,90810.0,Combined Cycle,,ERC_REST,Texas,48.0,Grayson,181.0,48181.0,204.0,7189.0,2014.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.00685,0.00685,0.00685,0.00685,,,,,,,,,,,,Natural Gas,58005.0,33.582573,-96.617893,,,,,,,,3.6509190329230177,117.0,POINT (-96.617893 33.582573),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,64.872,20826.322810137837,81.60000000000001,0.0,13170.0,3.5999999999999996,29.846456927683576,1,0.0,1,1,0,False,False,False,58005+CTG-2,,,,,,,,,,,,
368,Panda Sherman Power Station,58005_G_STG-1,58005,G,STG-1,,Combined Cycle,,ERC_REST,Texas,48.0,Grayson,181.0,48181.0,309.0,7189.0,2014.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,2014.0,,,,,,,,0.00685,0.00685,0.00685,0.00685,,,,,,,,,,,,Natural Gas,58005.0,33.582573,-96.617893,,,,,,,,3.6509190329230177,117.0,POINT (-96.617893 33.582573),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,98.262,31545.75366829702,123.60000000000001,0.0,13170.0,3.5999999999999996,29.846456927683576,1,0.0,1,1,0,False,False,False,58005+STG-1,,,,,,,,,,,,
375,Wolf Hollow II,59812_G_CGT4,59812,G,CGT4,91202.0,Combined Cycle,,ERC_REST,Texas,48.0,Hood,221.0,48221.0,307.2,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00773,0.00773,0.00773,0.00773,,,,,,,,,,,,Natural Gas,59812.0,32.337679,-97.734612,,,,,,,,3.6509190329230177,117.0,POINT (-97.734612 32.337679),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,97.6896,31361.991996442863,122.88,0.0,13170.0,3.5999999999999996,26.418243955768858,1,0.0,1,1,0,False,False,False,59812+CGT4,,,,,,,,,,,,
376,Wolf Hollow II,59812_G_CGT5,59812,G,CGT5,91203.0,Combined Cycle,,ERC_REST,Texas,48.0,Hood,221.0,48221.0,307.2,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00773,0.00773,0.00773,0.00773,,,,,,,,,,,,Natural Gas,59812.0,32.337679,-97.734612,,,,,,,,3.6509190329230177,117.0,POINT (-97.734612 32.337679),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,97.6896,31361.991996442863,122.88,0.0,13170.0,3.5999999999999996,26.418243955768858,1,0.0,1,1,0,False,False,False,59812+CGT5,,,,,,,,,,,,
377,Wolf Hollow II,59812_G_STG6,59812,G,STG6,,Combined Cycle,,ERC_REST,Texas,48.0,Hood,221.0,48221.0,454.9,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00773,0.00773,0.00773,0.00773,,,,,,,,,,,,Natural Gas,59812.0,32.337679,-97.734612,,,,,,,,3.6509190329230177,117.0,POINT (-97.734612 32.337679),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,4.0,144.6582,46440.65807025345,181.96,0.0,13170.0,3.5999999999999996,26.418243955768858,1,0.0,1,1,0,False,False,False,59812+STG6,,,,,,,,,,,,
383,Comanche Peak,6145_G_1,6145,G,1,,Nuclear,,ERC_REST,Texas,48.0,Somervell,425.0,48425.0,1205.0,10456.0,1990.0,2070.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6145.0,32.298365,-97.785515,,,,,,,,0.6559195578450814,0.0,POINT (-97.785515 32.298365),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,20.0,96.4,615091.1516229435,1084.5,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6145+1,,,,,,,,,,,,
384,Comanche Peak,6145_G_2,6145,G,2,,Nuclear,,ERC_REST,Texas,48.0,Somervell,425.0,48425.0,1195.0,10456.0,1993.0,2073.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6145.0,32.298365,-97.785515,,,,,,,,0.6559195578450814,0.0,POINT (-97.785515 32.298365),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,p63,20.0,95.60000000000001,609986.6607381058,1075.5,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6145+2,,,,,,,,,,,,
400,EG178 Facility,56233_G_CT02,56233,G,CT02,,Combined Cycle,,ERC_WEST,Texas,48.0,Scurry,415.0,48415.0,46.0,7590.0,2005.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.02707,0.02707,0.02707,0.02707,,,,,,,,,,,,Natural Gas,56233.0,32.747058,-100.954661,,,,,,,,3.6509190329230177,117.0,POINT (-100.954661 32.747058),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,4.0,29.394000000000002,4696.131614050689,18.400000000000002,0.0,13170.0,3.5999999999999996,31.3104754598857,1,0.0,1,1,0,False,False,False,56233+CT02,,,,,,,,,,,,
401,EG178 Facility,56233_G_CTG1,56233,G,CTG1,,Combined Cycle,,ERC_WEST,Texas,48.0,Scurry,415.0,48415.0,46.0,7590.0,2005.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.02707,0.02707,0.02707,0.02707,,,,,,,,,,,,Natural Gas,56233.0,32.747058,-100.954661,,,,,,,,3.6509190329230177,117.0,POINT (-100.954661 32.747058),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,4.0,29.394000000000002,4696.131614050689,18.400000000000002,0.0,13170.0,3.5999999999999996,31.3104754598857,1,0.0,1,1,0,False,False,False,56233+CTG1,,,,,,,,,,,,
402,EG178 Facility,56233_G_STG,56233,G,STG,,Combined Cycle,,ERC_WEST,Texas,48.0,Scurry,415.0,48415.0,18.0,7590.0,2005.0,9999.0,,,N,Natural Gas,,,,NH3 + STM,SCR,2005.0,,,,,,,,0.02707,0.02707,0.02707,0.02707,,,,,,,,,,,,Natural Gas,56233.0,32.747058,-100.954661,,,,,,,,3.6509190329230177,117.0,POINT (-100.954661 32.747058),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,4.0,11.502,1837.616718541574,7.2,0.0,13170.0,3.5999999999999996,31.3104754598857,1,0.0,1,1,0,False,False,False,56233+STG,,,,,,,,,,,,
