hour,EFS2020,EFS2030,EFS2040,EFS2050
84,42877.977,47284.91,52059.184,57451.906
85,41694.305,45980.109,50622.699,55866.273
86,40872.469,45074.285,49625.824,54766.406
87,40193.074,44325.047,48801.391,53857.586
88,39686.414,43766.051,48185.367,53176.883
89,39816.406,43908.445,48341.82,53350.148
90,41561.355,45832.328,50461.703,55693.297
91,44556.148,49136.406,54101.613,59711.855
92,44731.871,49330.121,54314.551,59946.547
93,44343.676,48901.914,53841.996,59423.512
94,43030.887,47453.363,52244.777,57658.098
95,40570.371,44738.844,49252.723,54351.895
96,37947.496,41844.629,46062.539,50827.379
97,36392.895,40128.996,44170.863,48736.641
98,35844.738,39523.953,43503.84,47999.82
99,35720.016,39385.668,43350.629,47830.07
100,36103.598,39808.691,43816.539,48344.523
101,37464.973,41310.336,45470.961,50171.215
102,40867.73,45064.836,49608.695,54741.219
103,46047.047,50780.223,55907.184,61696.52
104,47626.211,52522.691,57825.664,63812.578
105,45970.441,50696.105,55813.293,61591.148
106,44452.969,49022.98,53971.879,59559.98
107,43224.797,47669.27,52482.758,57918.066
108,42106.199,46435.82,51125.227,56420.793
109,41161.453,45394.094,49978.777,55156.074
110,40559.516,44730.34,49248.652,54351.328
111,39971.727,44081.785,48534.191,53562.563
112,39571.742,43640.609,48048.566,53026.813
113,39550.164,43615.891,48020.832,52996.695
114,41003.613,45218.371,49786.578,54948.52
115,43732.629,48228.789,53102.129,58608.285
116,43787.203,48288.398,53166.875,58679.219
117,43313.453,47765.141,52588.875,58039.406
118,41747.578,46037.578,50684.426,55934.719
119,39163.566,43185.895,47540.797,52461.73
120,36479.93,40224.895,44277.383,48856.617
121,34686.223,38245.223,42095.156,46446.082
122,33730.863,37190.645,40932.398,45161.699
123,33324.672,36742.055,40437.324,44614.273
124,33480.961,36914.512,40627.328,44824.105
125,34402.496,37930.586,41746.398,46059.828
126,37121.813,40930.355,45051.762,49710.457
127,41692.313,45973.758,50609.754,55848.547
128,43305.199,47753.871,52570.359,58011.625
129,42105.289,46430.25,51112.723,56403.18
130,41416.777,45671.801,50278.879,55483.684
131,41097.309,45320.961,49894.535,55060.73
132,40589.754,44761.918,49280.246,54383.902
133,40104.324,44227.383,48693.367,53737.664
134,39941.113,44048.234,48497.645,53522.664
135,39592.496,43664.309,48075.809,53057.785
136,39277.418,43316.867,47693.523,52635.75
137,39110.215,43131.879,47489.281,52410.344
138,39668.32,43746.266,48166.07,53159.996
139,41577.273,45852.012,50485.066,55719.637
140,41024.973,45242.309,49812.25,54975.652
141,40056.23,44173.254,48633.57,53673.387
142,38864.375,42857.586,47182.508,52069.809
143,37173.348,40991.445,45124.945,49795.906
144,34949.887,38537.984,42420.449,46807.891
145,33145.078,36546.461,40225.543,44383.691
146,31998.852,35281.199,38830.113,42841.488
147,31325.807,34538.012,38009.891,41934.496
148,31197.684,34396.258,37852.879,41760.418
