,p60p61,p60p62,p60p63,p61p62,p61p63,p61p64,p61p65,p63p64,p63p67,p64p65,p64p67,p65p67,p61p60,p62p60,p63p60,p62p61,p63p61,p64p61,p65p61,p64p63,p67p63,p65p64,p67p64,p67p65
2050-01-16 00:00:00,0.03042951764434866,0.5340391887378613,1.1310660530760206,0.0,0.0,0.0,0.0,0.0,2.138,0.0,0.0,10.75341561335961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4030519748045744,0.0,6.388529622736221,2.207,0.0
2050-01-16 01:00:00,0.0,0.85236723757459,1.0678588565897227,0.0,0.0,0.0,0.0,2.6815900821346066,0.0,0.0,0.0,12.942591822605634,0.6401063413805201,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.0,1.8979124178653928,0.0,0.0
2050-01-16 02:00:00,0.0,0.7717512693312247,2.003,0.0,0.23427631363980317,0.0,0.0,4.034680070014247,2.138,0.0,0.0,12.799433162605633,1.031407595930222,0.0,0.0,0.832,0.0,0.0,0.0,0.0,2.138,0.46789656998575335,0.0,0.0
2050-01-16 03:00:00,2.473,0.0,0.0,0.14856578640941154,0.0,0.0,1.1124648529146717,1.1573355711078417,0.0,0.0,0.0,8.36273774,1.1166340927365224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.785174596823804,0.0,0.0
2050-01-16 04:00:00,0.0,0.4084880920663568,1.1113733088720041,0.0,0.0,0.0,0.0,3.895722391298321,0.0,1.6319155056673527,0.0,10.75403928,0.26234228357518463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0
2050-01-16 05:00:00,0.0,0.8939631846625141,0.42421864597539677,0.38416457156771733,0.0,0.0,1.2792240812629494,3.1140796928036742,0.0,0.8843794407353194,0.0,11.553769489449682,0.0,0.0,0.0,0.832,0.0,0.0,1.2792240812629494,0.0,2.138,0.0,2.207,0.0
2050-01-16 06:00:00,0.0,0.7812705610517776,0.7985620436334635,0.0,0.0,0.0,0.9441830677246436,0.0,0.0,0.0,0.0,7.691047237394367,0.7297135582433831,0.0,0.0,0.832,0.0,0.0,1.2792240812629494,0.0,0.0,2.667040782068354,2.207,0.0
2050-01-16 07:00:00,0.26104811772411063,0.0,1.0489116124810085,0.009829375650612218,0.0,0.238,0.13536533863336,3.0817132788322046,0.0,0.0,0.0,8.128317737394367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207,0.0
2050-01-16 08:00:00,0.0,0.0,0.7352555531109173,0.3655873608578697,0.0,0.0,0.51337685930721,0.0,0.0,0.0,0.0,12.958932982232216,0.0,0.0,0.0,0.0,0.0,0.0,1.2792240812629494,1.0343216549346899,0.0,6.702448244177379,0.0,0.0
2050-01-16 09:00:00,0.0,1.060516219114827,0.0,0.0,0.0,0.0,0.8076084617181167,0.0,0.0,0.0,0.0,15.565560082232217,0.0,0.0,0.44242358687327304,0.0,0.0,0.0,1.2792240812629494,6.662789900337778,0.0,11.47869636179005,2.207,0.0
2050-01-16 10:00:00,0.0,0.8017568597511963,0.0,0.0,0.0,0.238,0.6014065948937928,0.0,0.0,0.0,0.0,15.20183265506072,0.0,0.0,0.02657899309805506,0.0,0.0,0.0,1.2792240812629494,6.532399114193925,0.0,13.342353891217991,0.0,0.0
2050-01-16 11:00:00,2.473,0.6932011722933783,0.0,0.0,0.0,0.238,0.80882029028187,0.0,0.0,0.0,0.6602388857796804,19.78206715905817,1.5012489597429701,0.0,0.0,0.0,0.0,0.0,0.0,8.689828133542179,0.0,14.454824586474576,2.207,0.0
2050-01-16 12:00:00,0.399947975089868,1.0610502926261502,0.6790173189643403,0.832,0.0,0.0,0.0,0.0,0.5839236857796823,0.0,0.0,19.78206715905817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.671160797984292,2.138,16.225454131713498,0.0,0.0
2050-01-16 13:00:00,0.0,1.1234867803811688,1.917997423179569,0.0,0.456,0.17859987437111302,1.2792240812629494,0.0,0.0,0.0,0.0,18.21532704483785,0.0,0.0,0.0,0.832,0.0,0.0,0.0,6.671037148304096,0.0,14.039369846816282,0.0,0.0
2050-01-16 14:00:00,0.8085697902060851,0.5495854550318104,2.003,0.0,0.456,0.238,1.2792240812629494,0.0,2.138,0.0,0.0,15.99499364483785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.693326999877069,0.0,15.947945430988536,0.0,0.0
2050-01-16 15:00:00,0.9010334292605744,0.5515097228571713,1.755105447509246,0.0,0.456,0.238,1.2792240812629494,0.0,0.0,0.0,0.0,17.95530488223222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637218418510976,2.138,8.193170169866217,2.207,0.0
2050-01-16 16:00:00,0.9888518326618084,0.0,2.003,0.23477893451571363,0.456,0.238,1.2792240812629494,0.0,0.0,0.0,0.0,13.370273300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.783635781709954,0.0,6.3206716438095025,2.207,0.0
2050-01-16 17:00:00,0.517104603446797,0.4813984330939975,1.0928851872097265,0.0,0.0,0.0,1.2792240812629494,0.0,0.0,0.0,0.0,16.045622082232217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1189747016272955,0.0,8.730451272136154,2.207,0.0
2050-01-16 18:00:00,0.0,0.9208406147603047,0.4378197707812575,0.832,0.456,0.0,0.0,0.0,0.0,0.0,0.0,16.722528482232217,0.8259175678777242,0.0,0.0,0.832,0.456,0.0,1.2792240812629494,7.095442772592683,0.0,12.371955847646166,2.207,0.0
2050-01-16 19:00:00,0.4426918624535272,0.27560079873645815,0.0,0.832,0.456,0.0,0.0,0.0,0.0,0.0,0.0,14.450216582232216,0.0,0.0,0.13608740742386422,0.0,0.0,0.0,1.2792240812629494,3.45057667621705,0.0,10.908897611270534,0.0,0.0
2050-01-16 20:00:00,0.5912401089829613,1.1957748051005659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37529798223222,0.0,0.0,2.003,0.0,0.0,0.0,0.10002318500946429,9.103839356850898,0.0,14.203676301904382,2.207,0.0
2050-01-16 21:00:00,1.0445209091179675,0.42194522078648994,0.20748247121936503,0.832,0.0,0.238,0.0,0.0,0.0,0.0,0.0,13.49899593,0.0,0.0,2.003,0.0,0.0,0.0,1.2792240812629494,8.20325902035836,0.0,12.809328185411843,2.207,0.0
