,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory,Max Zonal Cap,Variable Weight
29,Rio Grande Valley Sugar Growers,54338_B_6,54338,B,6,,Biomass,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,3.5,17397.0,2009.0,9999.0,,,Y,Biomass,,,,,,,,ESPH + C + WS,No,,,,,0.25617,0.25617,0.25617,0.25617,,,,,,,,,,,,Biomass,54338.0,26.269683,-97.867012,,,,,,,,,0.0,91.9,POINT (-97.867012 26.269683),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Biomass,,4.0,3.5,357.31436193863937,1.4000000000000001,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,True,False,2050,54338+6,,,,,,,,,,,,,,
48,OCI Alamo Solar I,58537_G_ASTRO,58537,G,ASTRO,,Batteries,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,1.0,0.0,2016.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,58537.0,29.271667,-98.444722,58537.0,ASTRO,0.3,1,1,Batteries,0.81,0.0,0.0,0.0,POINT (-98.444722 29.271667),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Energy Storage,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,58537+ASTRO,,,,,,,,,,,,,,
63,Coleto Creek,6178_B_1,6178,B,1,2826.0,Coal Steam,,ERC_REST,Texas,48.0,Goliad,175.0,48175.0,635.0,9890.0,1980.0,9999.0,tangential,wet,N,Subbituminous,,,,LNC3,,,,B,,ACI,2016.0,,1.2,0.12786,0.12786,0.12786,0.12786,0.1,0.1,0.1,,,,,,,,,Subbituminous,6178.0,28.7128,-97.214167,,,,,,,,,1.751942379046926,214.3,POINT (-97.214167 28.7128),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Subbituminous,"(9822.0, 9890.0]",12.0,113.66499999999999,64827.03423743886,254.0,0.0,37800.0,4.47,21.796710128774098,1,0.0,1,1,0,True,2030,False,6178+1,,,,,,,,,,,,,,
64,San Miguel,6183_B_SM-1,6183,B,SM-1,2835.0,Coal Steam,,ERC_REST,Texas,48.0,Atascosa,13.0,48013.0,391.0,11931.0,1982.0,9999.0,wall,dry,N,Lignite,Wet Scrubber,1982.0,0.954,LNB + OFA,SNCR,,2015.0,ESPC,No,ACI,2016.0,,1.2,0.15874,0.15874,0.15874,0.15874,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6183.0,28.7044,-98.4775,,,,,,,,,1.751942379046926,215.4,POINT (-98.47750000000001 28.7044),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Lignite,,12.0,69.98899999999999,39917.11871943086,156.4,0.0,37800.0,4.47,25.372424524408874,1,0.0,1,1,0,True,2030,False,6183+SM-1,,,,,,,,,,,,,,
65,South Texas Project,6251_G_1,6251,G,1,,Nuclear,,ERC_REST,Texas,48.0,Matagorda,321.0,48321.0,1280.0,10456.0,1988.0,2068.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6251.0,28.795,-96.0481,,,,,,,,,0.6559195578450814,0.0,POINT (-96.04810000000001 28.795),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Nuclear Fuel,,20.0,102.4,653374.8332592263,1152.0,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6251+1,,,,,,,,,,,,,,
66,South Texas Project,6251_G_2,6251,G,2,,Nuclear,,ERC_REST,Texas,48.0,Matagorda,321.0,48321.0,1280.0,10456.0,1989.0,2069.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6251.0,28.795,-96.0481,,,,,,,,,0.6559195578450814,0.0,POINT (-96.04810000000001 28.795),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Nuclear Fuel,,20.0,102.4,653374.8332592263,1152.0,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6251+2,,,,,,,,,,,,,,
67,J K Spruce,7097_B_BLR1,7097,B,BLR1,2939.0,Coal Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,560.0,9754.0,1992.0,9999.0,tangential,wet,N,Subbituminous,Wet Scrubber,1992.0,0.93,LNC3,,,,B,,ACI,2015.0,,0.35,0.13973,0.13973,0.13973,0.13973,0.1,0.1,0.1,0.9800000000000001,,,,,,,,Subbituminous,7097.0,29.309722,-98.3203,,,,,,,,,1.751942379046926,214.3,POINT (-98.3203 29.309722),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Subbituminous,"(9739.0, 9754.0]",12.0,100.24,57170.2979101823,224.0,0.0,37800.0,4.47,21.558445965223715,1,0.0,1,1,0,True,2030,False,7097+BLR1,,,,,,,,,,,,,,
68,J K Spruce,7097_B_BLR2,7097,B,BLR2,2940.0,Coal Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,785.0,9724.0,2010.0,9999.0,tangential,wet,N,Subbituminous,Wet Scrubber,2010.0,0.95,AA + LNB + NH3,SCR,2010.0,,B,,ACI,2013.0,,0.1,0.04913,0.04913,0.04913,0.04913,0.1,0.1,0.1,0.99,,,,,,,,Subbituminous,7097.0,29.309722,-98.3203,,,,,,,,,1.751942379046926,214.3,POINT (-98.3203 29.309722),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,Subbituminous,"(9723.999, 9739.0]",12.0,140.515,80140.50689195198,314.0,0.0,37800.0,4.47,21.505887693852305,1,0.0,1,1,0,True,2030,False,7097+BLR2,,,,,,,,,,,,,,
69,Decker Creek,3548_B_2,3548,B,2,2455.0,O/G Steam,,ERC_REST,Texas,48.0,Travis,453.0,48453.0,404.0,11588.0,1977.0,9999.0,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,FR + H2O + LNB,,,,,,,,,1.157,0.09734,0.09734,0.09734,0.09734,,,,,,,,,,,,Natural Gas,3548.0,30.3033,-97.6128,,,,,,,,,3.6509190329230177,117.0,POINT (-97.61279999999999 30.3033),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Natural Gas,"(10745.0, 11699.0]",7.0,93.324,41244.28634948866,161.60000000000002,0.0,37800.0,4.47,46.77684975351193,1,0.0,1,1,0,True,False,2035,3548+2,,,,,,,,,,,,,,
70,Hal C Weaver Power Plant,50118_G_GEN7,50118,G,GEN7,,Combined Cycle,,ERC_REST,Texas,48.0,Travis,453.0,48453.0,27.6,7130.0,1979.0,9999.0,,,Y,Natural Gas,,,,FR,SCR,,,,,,,,,0.04937,0.04937,0.04937,0.04937,,,,,,,,,,,,Natural Gas,50118.0,30.2867,-97.7356,,,,,,,,,3.6509190329230177,117.0,POINT (-97.73560000000001 30.2867),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Combined Cycle,"(7049.999, 7130.0]",4.0,17.636400000000002,2817.6789684304135,11.040000000000001,0.0,13170.0,3.5999999999999996,29.631052704741116,1,0.0,1,1,0,True,False,2035,50118+GEN7,,,,,,,,,,,,,,
