,p60,p61,p62,p63,p64,p65,p67
2050-01-10 00:00:00,663.5200266986153,1581.231454247456,87.0949202042073,6938.648156201333,506.02155606488344,8988.518047840977,0
2050-01-10 01:00:00,861.0586820458062,1314.4134351952318,81.94329438358545,8186.294553681814,468.2020002789433,9675.371661751247,0
2050-01-10 02:00:00,1029.9620030573014,1108.137665729642,83.32316276431084,9085.464575090265,354.4260301634396,10701.851134462951,0
2050-01-10 03:00:00,1098.0786355280084,969.1905497029769,98.41030832380056,9430.097856528555,253.97283654323115,11265.146539036343,0
2050-01-10 04:00:00,1076.6045181788038,920.1957688804833,120.3136665597558,9096.916734975952,179.73254562421786,10207.885680047495,0
2050-01-10 05:00:00,1018.3360957744533,809.7769570696405,137.26142118126154,8669.014875524335,61.51207250675406,8413.721483988307,0
2050-01-10 06:00:00,1013.6429848223459,588.9011158140304,159.48669439554214,8416.940619879755,0.0,8023.110076525098,0
2050-01-10 07:00:00,1049.4394669831265,355.5656395187429,190.88429065444507,8394.44990707708,0.0,8418.622874476127,0
2050-01-10 08:00:00,1124.7834863275523,253.365342065961,227.7239933796227,7917.10021830081,0.0,6290.138007124057,0
2050-01-10 09:00:00,995.5108016470447,181.32087107263507,193.4281162591651,5336.96378774794,0.0,12643.076490811569,0
2050-01-10 10:00:00,367.2765375613235,124.71728080958128,107.62016866309568,6102.022046015833,0.0,18484.971594199094,0
2050-01-10 11:00:00,75.67209070451791,133.62279468423222,108.33324267353164,7856.845126863729,0.0,19996.3286933017,0
2050-01-10 12:00:00,20.667576190235557,78.93279878841713,53.95586449918337,7809.213111786369,0.0,20745.202323482583,0
2050-01-10 13:00:00,9.368449499737471,31.07203291915357,14.226586740463972,7684.765936190339,0.0,20919.767655427127,0
2050-01-10 14:00:00,9.696920870942995,7.232781798578798,0.0,7091.774756027808,0.0,20578.106539111122,0
2050-01-10 15:00:00,7.322589680552483,3.02035351744853,0.0,6170.426595810431,0.0,19026.70110859059,0
2050-01-10 16:00:00,11.588247817382216,2.0702812775969504,0.0,5195.257597219654,0.0,15369.60515467666,0
