gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg
931,Improved Electrolysis,38.2982918,-122.4749362,0,0,0,0,0,0,0,0,0,0,0,0,0
932,Improved Electrolysis,38.36433502,-121.9677198,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Improved Electrolysis,38.37611409,-81.70227293,0,14836518833,0,0,0,0,0,0,0,0,0,0,0
934,Improved Electrolysis,38.37892834,-75.13102183,0,0,0,0,0,0,0,0,0,0,0,0,0
935,Improved Electrolysis,38.42354172,-78.88691883,0,0,0,0,0,0,0,0,0,0,0,0,0
936,Improved Electrolysis,38.44053626,-75.59289594,0,0,0,0,0,0,0,0,0,0,0,0,0
937,Improved Electrolysis,38.44093845,-82.48227945,0,28024399856,0,0,0,0,0,1.12485E+11,0,0,0,0,0
938,Improved Electrolysis,38.44286786,-122.7415819,0,0,0,0,0,0,0,0,0,0,0,0,0
939,Improved Electrolysis,38.55453781,-121.7397747,0,0,0,0,0,0,0,0,0,0,0,0,0
940,Improved Electrolysis,38.57703207,-92.20345233,0,0,0,0,0,0,0,0,0,0,17834703836,0,0
941,Improved Electrolysis,38.61174081,-76.98582053,0,0,0,0,0,0,0,0,0,0,0,0,0
942,Improved Electrolysis,38.621486,-115.617898,0,0,0,0,0,0,0,1926109311,0,0,0,0,0
943,Improved Electrolysis,38.63088594,-90.34245531,0,2.35826E+11,0,0,0,0,0,0,0,0,0,0,0
944,Improved Electrolysis,38.63899674,-121.3278234,0,6307388825,0,0,0,0,0,0,0,0,0,0,0
945,Improved Electrolysis,38.67347567,-121.7619463,0,0,0,0,0,0,0,0,0,0,0,0,0
946,Improved Electrolysis,38.7409987,-82.92741907,0,0,0,0,0,0,0,0,0,0,0,0,0
947,Improved Electrolysis,38.76571494,-101.0293485,0,0,0,0,0,0,0,0,0,0,8.43959E+11,0,0
948,Improved Electrolysis,38.81464221,-97.61206099,0,98175035418,0,0,0,0,0,0,0,0,5.14437E+11,0,0
949,Improved Electrolysis,38.87167489,-104.7743588,0,0,0,0,0,0,0,0,0,0,0,0,0
950,Improved Electrolysis,38.89651017,-77.18950287,0,0,0,0,0,0,0,0,0,0,0,0,0
951,Improved Electrolysis,38.89785959,-90.12501488,0,86922282766,0,0,0,0,0,1.35983E+11,0,0,0,0,0
952,Improved Electrolysis,38.89938425,-94.3755258,0,0,0,0,0,0,0,0,0,0,0,0,0
953,Improved Electrolysis,38.92777623,-121.0833039,0,0,0,0,0,0,0,0,0,0,0,0,0
954,Improved Electrolysis,38.95587985,-92.32750625,0,0,0,0,0,0,0,0,0,0,0,1.60683E+11,0
955,Improved Electrolysis,38.95642764,-95.26030433,0,0,0,0,0,0,0,0,0,0,0,0,0
956,Improved Electrolysis,39.00560231,-74.88925815,0,0,0,0,0,0,0,0,0,0,0,0,0
957,Improved Electrolysis,39.04007402,-94.5961566,0,0,0,0,0,0,0,0,0,0,0,0,0
958,Improved Electrolysis,39.04267002,-95.69179814,0,0,0,0,0,0,0,0,0,0,0,0,0
959,Improved Electrolysis,39.05392411,-96.82539862,0,0,0,0,0,0,0,0,0,0,0,0,0
960,Improved Electrolysis,39.08931801,-108.5626165,0,0,0,0,0,0,0,0,0,0,0,0,0
961,Improved Electrolysis,39.1008509,-111.9321822,0,0,0,0,0,0,0,0,0,0,0,0,0
962,Improved Electrolysis,39.12334249,-121.606948,0,0,0,0,0,0,0,0,0,0,0,0,0
963,Improved Electrolysis,39.14468238,-75.54434658,0,5339774649,0,0,0,0,0,0,0,0,0,0,0
964,Improved Electrolysis,39.15424599,-119.753896,0,0,0,0,0,0,0,0,0,0,0,0,0
965,Improved Electrolysis,39.15886606,-78.15963841,0,0,0,0,0,0,0,0,0,0,29802229164,0,0
966,Improved Electrolysis,39.16249558,-86.5480123,0,0,0,0,0,0,0,0,0,0,0,0,0
967,Improved Electrolysis,39.18625073,-84.46209094,0,14012199928,0,0,0,0,0,0,0,0,0,0,0
968,Improved Electrolysis,39.19454819,-96.5903308,0,0,0,0,0,0,0,0,0,0,0,0,0
969,Improved Electrolysis,39.19996619,-121.042181,0,0,0,0,0,0,0,0,0,0,0,0,0
970,Improved Electrolysis,39.23262004,-85.92000875,0,40491996006,0,0,0,0,0,0,0,0,0,0,0
971,Improved Electrolysis,39.2330649,-76.64679705,0,0,0,0,0,0,0,0,0,0,1235450.745,0,0
972,Improved Electrolysis,39.26441854,-81.55259479,0,0,0,0,0,0,0,0,0,0,0,0,0
973,Improved Electrolysis,39.28977399,-94.92073483,0,0,0,0,0,0,0,0,0,0,0,0,0
974,Improved Electrolysis,39.29647805,-80.31241785,0,0,0,0,0,0,0,0,0,0,0,0,0
975,Improved Electrolysis,39.33768789,-120.1739235,0,0,0,0,0,0,0,0,0,0,0,0,0
976,Improved Electrolysis,39.3460383,-83.00667586,0,0,0,0,0,0,0,0,0,0,0,0,0
977,Improved Electrolysis,39.37057779,-74.59101524,0,0,0,0,0,0,0,0,0,0,0,0,0
978,Improved Electrolysis,39.41565965,-77.40820251,0,0,0,0,0,0,0,0,0,0,0,0,0
979,Improved Electrolysis,39.44127753,-75.22379323,0,5759561735,0,0,0,0,0,73269198174,0,0,0,5.54859E+11,0
980,Improved Electrolysis,39.47032686,-80.1502196,0,0,0,0,0,0,0,0,0,0,0,0,0
981,Improved Electrolysis,39.47915827,-87.35342652,0,80983992013,0,0,0,0,0,94379356217,0,0,0,0,0
982,Improved Electrolysis,39.48251861,-75.02780046,0,0,0,0,0,0,0,0,0,0,0,0,0
983,Improved Electrolysis,39.48888814,-76.95900627,0,0,0,0,0,0,0,0,0,0,0,0,0
984,Improved Electrolysis,39.49938304,-121.5423692,0,0,0,0,0,0,0,0,0,0,0,0,0
985,Improved Electrolysis,39.51115924,-76.30331767,0,35679285342,0,0,0,0,0,0,0,0,0,3.63059E+11,0
986,Improved Electrolysis,39.52540532,-84.3555768,0,14012199928,0,0,0,0,0,0,0,0,0,0,0
987,Improved Electrolysis,39.53239408,-119.7972653,0,0,0,0,0,0,0,0,0,0,0,0,0
